EMD_NM,버스정거장개수,버스노선개수,지하철역개수,인구수
가야동,292,19,2,34681
감만동,176,10,0,14636
감전동,356,26,1,11983
감천동,337,17,0,22279
강동동,362,13,0,5002
개금동,486,30,1,54872
거제동,694,33,3,70466
광복동1가,0,0,0,60
광복동2가,0,0,0,23
광복동3가,0,0,0,26
광안동,441,25,4,65979
괘법동,296,26,1,24389
괴정동,516,22,3,59438
구랑동,80,9,0,58
구서동,344,14,2,49747
구평동,270,12,0,12424
구포동,627,32,3,56817
금곡동,336,9,2,35281
금사동,152,11,1,4680
금성동,48,2,0,914
기장읍,1682,27,0,51721
낙민동,192,24,1,19744
남부민동,308,14,0,12378
남산동,274,15,1,26347
남천동,191,18,2,30056
남포동1가,51,25,1,56
남포동2가,0,0,0,54
남포동3가,0,0,0,7
남포동4가,108,27,0,187
남포동5가,108,27,0,206
남포동6가,25,12,1,300
남항동1가,26,9,0,2977
남항동2가,32,9,0,1053
남항동3가,16,1,0,1675
노포동,182,15,1,740
녹산동,174,13,0,1160
눌차동,18,1,0,716
다대동,732,13,3,61663
당감동,462,18,0,42613
당리동,200,13,1,24095
대교동1가,76,18,0,1141
대교동2가,56,16,0,1313
대연동,963,35,3,96097
대저1동,472,18,3,5814
대저2동,357,6,0,6520
대창동1가,48,24,0,533
대창동2가,34,17,0,64
대청동1가,1,0,0,979
대청동2가,12,4,0,487
대청동3가,10,3,0,148
대청동4가,32,5,0,4123
대평동1가,10,1,0,1708
대평동2가,4,1,0,324
대항동,36,2,0,698
덕천동,468,23,4,34169
덕포동,310,18,2,23716
동광동1가,38,19,0,135
동광동2가,0,0,0,72
동광동3가,12,6,0,126
동광동4가,0,0,0,96
동광동5가,14,3,0,2009
동대신동1가,62,17,0,5285
동대신동2가,62,11,1,6611
동대신동3가,144,21,0,7231
동삼동,799,17,0,41811
동선동,20,3,0,1026
두구동,118,7,0,1571
만덕동,478,18,1,60050
망미동,298,17,0,35925
명륜동,300,31,0,26253
명장동,294,14,1,27095
명지동,1376,29,0,84346
모라동,486,20,1,35374
문현동,328,26,3,44202
미음동,130,9,0,72
민락동,208,16,1,27495
반송동,258,10,2,33320
반여동,620,21,0,68123
범방동,174,9,0,1009
범일동,552,49,1,24745
범전동,148,35,0,6272
범천동,408,44,2,33682
보수동1가,70,12,0,5812
보수동2가,18,9,0,2273
보수동3가,0,0,0,2154
복천동,82,7,0,5435
봉래동1가,2,1,0,1389
봉래동2가,22,6,0,2999
봉래동3가,32,13,0,1830
봉래동4가,72,14,0,4900
봉래동5가,74,15,0,2468
봉림동,170,9,0,924
부곡동,328,15,0,51074
부민동1가,18,5,0,1259
부민동2가,1,0,0,278
부민동3가,28,2,0,3066
부암동,294,25,0,43731
부용동1가,16,8,0,1514
부용동2가,20,10,0,1204
부전동,624,56,3,21723
부평동1가,4,2,0,686
부평동2가,29,13,0,1028
부평동3가,22,11,0,656
부평동4가,2,1,0,1788
사직동,512,26,1,51790
삼락동,118,8,0,5176
생곡동,226,9,0,536
서대신동1가,56,16,0,5479
서대신동2가,126,20,1,9374
서대신동3가,198,22,0,14563
서동,200,14,1,23046
석대동,252,13,2,316
선동,34,2,0,499
성북동,170,6,0,1073
송정동,1036,38,0,10686
수안동,108,21,1,10930
수영동,102,19,0,13885
수정동,416,33,1,21140
식만동,48,2,0,442
신선동1가,44,7,0,1829
신선동2가,82,7,0,3390
신선동3가,90,11,0,1910
신창동1가,0,0,0,337
신창동2가,0,0,0,192
신창동3가,0,0,0,85
신창동4가,0,0,0,60
신평동,454,17,2,32776
신호동,310,18,0,16210
아미동1가,24,11,0,282
아미동2가,168,10,0,6098
안락동,398,30,1,39634
암남동,385,14,0,15193
양정동,408,35,1,33818
엄궁동,262,11,0,24237
연산동,1080,34,5,141588
연지동,144,13,0,25671
영선동1가,34,14,0,1158
영선동2가,54,7,0,2495
영선동3가,56,11,0,1626
영선동4가,135,12,0,5796
영주동,166,14,0,10810
오륜동,30,1,0,222
온천동,894,43,6,84984
용당동,214,13,0,7763
용호동,457,10,0,80787
우동,795,30,4,79666
우암동,194,10,0,12112
일광읍,550,10,0,29879
장림동,611,22,2,35822
장안읍,547,11,0,8758
장전동,530,23,2,43468
재송동,494,19,0,58974
전포동,424,26,1,44061
정관읍,1394,15,0,79393
좌동,629,24,1,85011
좌천동,180,35,1,13256
주례동,708,31,2,50179
죽동동,6,2,0,388
죽림동,66,5,0,369
중동,420,20,1,42388
중앙동1가,0,0,0,236
중앙동2가,0,0,0,394
중앙동3가,50,25,0,92
중앙동4가,146,25,1,1220
중앙동5가,0,0,0,568
중앙동6가,115,29,0,57
중앙동7가,32,16,0,0
지사동,448,8,0,10221
창선동1가,0,0,0,29
창선동2가,0,0,0,80
천성동,152,3,0,783
철마면,340,14,2,7531
청룡동,102,17,1,8612
청학동,366,21,0,21876
초량동,683,38,2,27832
초읍동,260,10,0,20335
초장동,36,8,0,3795
충무동1가,94,27,0,1326
충무동2가,0,0,0,1108
충무동3가,0,0,0,633
칠산동,24,3,0,2986
토성동1가,0,0,0,2702
토성동2가,0,0,0,945
토성동3가,16,6,1,657
토성동4가,48,19,0,319
토성동5가,14,7,0,1838
하단동,546,32,1,46235
학장동,336,16,0,26350
화명동,404,12,3,84894
화전동,144,18,0,3544
회동동,114,7,0,2479